Number of nodes,Number of messages,Median latency,Median throughput
4,1,2.2874E-5,43519.0
4,2,2.2869E-5,86956.0
4,3,2.2762E-5,130693.0
4,4,2.2359E-5,177746.0
4,6,2.1961E-5,270730.0
4,8,2.2234E-5,357066.0
4,16,2.2334E-5,710774.0
4,24,2.2654E-5,1047055.5
4,32,2.2912E-5,1378022.0
4,48,2.3428E-5,2023258.0
4,64,2.3464E-5,2680758.0
4,128,3.9321E-5,3233861.0
