Number of nodes,Number of messages,Median latency,Median throughput
4,1,2.2474E-5,44185.0
4,2,2.2423E-5,88549.5
4,3,2.2238E-5,134627.0
4,4,2.1953E-5,182622.0
4,6,2.1844E-5,271610.0
4,8,2.1651E-5,366063.5
4,16,2.1779E-5,730347.0
4,24,2.2266E-5,1065231.5
4,32,2.239E-5,1425835.5
4,48,2.6317E-5,1793890.5
4,64,3.3667E-5,1882535.5
4,128,5.7792E-5,2244966.0
