Number of nodes,Number of messages,Median latency,Median throughput
4,1,2.2823E-5,43458.0
4,2,2.3289E-5,84794.5
4,3,2.317E-5,127872.0
4,4,2.2801E-5,173639.0
4,6,2.3303E-5,239954.5
4,8,2.306E-5,343987.5
4,16,2.2805E-5,695444.0
4,24,2.338E-5,1011761.0
4,32,2.3561E-5,1333630.5
4,48,2.4344E-5,1944495.0
4,64,2.4285E-5,2586822.5
4,128,1.82665E-4,698436.0
